from_slug,to_slug,anchor_text,link_type,priority
/blog/hp-cost-guide,/service,職人向けホームページ制作の詳細を見る,service,high
/blog/hp-cost-guide,/blog/roof-site-structure,屋根屋向け構成の具体例を見る,article,mid
/blog/hp-cost-guide,/diagnostic,3分診断を受ける,cta,high
/blog/roof-site-structure,/works,施工事例を見る,proof,high
/blog/roof-site-structure,/diagnostic,自社の弱点を診断する,cta,high
/blog/paint-conversion-flow,/blog/form-checklist,フォーム改善チェックを見る,article,high
/blog/paint-conversion-flow,/line,LINEで改善プランを受け取る,cta,high
/blog/exterior-local-site,/blog/map-link-seo,Googleマップ連動の方法を見る,article,mid
/blog/exterior-local-site,/diagnostic,3分診断を試す,cta,high
/blog/solo-first-page,/blog/solo-case-month5,月5件獲得の事例を見る,article,mid
/blog/solo-first-page,/consult,無料相談を予約する,cta,high
/blog/construction-seo-basic,/blog/case-writing-template,施工事例テンプレを見る,article,high
/blog/construction-seo-basic,/diagnostic,診断で優先順位を確認する,cta,high
/blog/map-link-seo,/gbp,Googleビジネス運用ページへ,service,mid
/blog/map-link-seo,/line,LINEでチェックリストを受け取る,cta,mid
/blog/case-writing-template,/template,施工事例テンプレを受け取る,lead,high
/blog/case-writing-template,/consult,無料相談を予約する,cta,mid
/blog/review-collection,/works,施工事例を見る,proof,mid
/blog/review-collection,/line,LINEでレビュー依頼文を受け取る,lead,high
/blog/escape-main-contractor,/blog/construction-seo-basic,SEO基本を確認する,article,mid
/blog/escape-main-contractor,/consult,元請け依存脱却を相談する,cta,high
/blog/leak-price-guide,/contact,費用を確認して見積を依頼する,cta,high
/blog/leak-price-guide,/blog/leak-cause-check,原因チェックを見る,article,high
/blog/leak-cause-check,/contact,無料点検を予約する,cta,high
/blog/roof-paint-timing,/contact,塗装時期を相談する,cta,high
/blog/wall-paint-quote,/contact,見積比較の相談をする,cta,high
/blog/carport-cost,/contact,外構工事の見積を依頼する,cta,mid
/blog/fence-replace-cost,/contact,交換費用を相談する,cta,mid
/blog/veranda-waterproof-cost,/contact,防水工事を相談する,cta,mid
/blog/roof-insurance-case,/consult,保険活用を相談する,cta,mid
/blog/roof-subsidy,/consult,補助金活用を相談する,cta,mid
/blog/paint-color-tips,/contact,色選びを相談する,cta,mid
/blog/line-for-craftsman,/line,LINE運用テンプレを受け取る,lead,high
/blog/instagram-basic,/line,投稿テンプレを受け取る,lead,mid
/blog/youtube-trust,/line,動画台本テンプレを受け取る,lead,mid
/blog/form-checklist,/diagnostic,フォーム課題を診断する,cta,high
/blog/cta-phone-layout,/consult,導線改善を相談する,cta,high
/blog/flyer-web-link,/line,連動導線テンプレを受け取る,lead,mid
/blog/ad-start-small,/consult,広告設計を相談する,cta,mid
/blog/photo-howto,/template,写真撮影チェックリストを受け取る,lead,mid
/blog/solo-case-month5,/consult,同様の導線を構築する,cta,high
/blog/trend-2026,/diagnostic,最新基準で診断する,cta,high
