channel,format,theme,hook,cta
YouTube,Long,元請け依存から抜ける3ステップ,紹介が止まると売上が止まる職人へ,無料診断へ
YouTube,Long,屋根屋ホームページで反応が出る構成,同じ施工写真でも反応が2倍変わる,LINE登録
YouTube,Long,塗装屋の集客失敗5選,やってはいけない更新方法,無料相談
YouTube,Long,外構業者の地域集客設計,地元で選ばれるサイトの共通点,診断結果受け取り
YouTube,Shorts,施工事例の書き方15秒,写真だけでは売れない理由,テンプレ配布
YouTube,Shorts,電話導線の改善ポイント,スマホで押せない電話番号は機会損失,無料診断へ
YouTube,Shorts,フォーム項目を減らす効果,項目を半分にするとCVRが上がる,LINE登録
Instagram,Reel,Before/After見せ方,施工写真の並べ方で信頼が変わる,プロフリンク
Instagram,Reel,口コミを自然に集める方法,工事後1分で依頼するだけ,LINEで台本配布
Instagram,Reel,雨漏り記事の作り方,見込み客が読む記事はこれ,無料診断
Instagram,Carousel,職人WEB集客チェックリスト,最初に直す3項目,LINE登録
Instagram,Carousel,元請け依存脱却ロードマップ,30日で着手する順番,無料相談
Instagram,Story,作業風景+一言,現場のリアルが一番強い,診断リンク
X,Text,施工事例テンプレ公開,そのまま使えるフォーマットを配布,LINE登録
X,Text,問い合わせが増えるCTA,記事の25/60/100%に置く,無料診断
X,Text,商談前準備,提案前に数値を揃える,相談予約
X,Text,失注の共通原因,追客不足は最大の機会損失,LINEで追客テンプレ
