id,keyword,stage,cluster,persona,priority,content_type,primary_cta
1,職人 ホームページ制作,顕在,制作依頼,一人親方,high,サービスページ,無料相談
2,職人向け ホームページ制作,顕在,制作依頼,50代職人,high,サービスページ,無料相談
3,屋根屋 ホームページ制作,顕在,業種別制作,屋根屋,high,業種別ページ,無料診断
4,塗装屋 ホームページ制作,顕在,業種別制作,塗装屋,high,業種別ページ,無料診断
5,外構業者 ホームページ制作,顕在,業種別制作,外構業者,high,業種別ページ,無料診断
6,一人親方 ホームページ制作,顕在,業種別制作,一人親方,high,業種別ページ,無料診断
7,建設業 ホームページ制作 料金,顕在,料金比較,職人経営者,high,料金ページ,無料相談
8,建設業 ホームページ 制作会社,顕在,比較検討,職人経営者,high,比較記事,無料相談
9,建築業 ホームページ 作成 代行,顕在,制作依頼,50代職人,high,サービスページ,無料相談
10,職人 web制作 依頼,顕在,制作依頼,一人親方,high,サービスページ,無料相談
11,職人 ホームページ リニューアル,顕在,リニューアル,既存サイト保有者,mid,サービスページ,無料診断
12,建設業 SEO 対策 代行,顕在,運用代行,職人経営者,mid,サービスページ,無料相談
13,職人向け LP制作,顕在,LP制作,職人経営者,mid,LPページ,無料相談
14,職人 集客 ホームページ,顕在,制作依頼,一人親方,high,ピラーページ,無料診断
15,工事業 ホームページ 作り方 依頼,顕在,制作依頼,現場監督兼経営者,mid,ハウツー記事,無料相談
16,Wix 建設業 ホームページ,顕在,制作ツール,IT初心者,mid,比較記事,無料診断
17,ホームページ制作 相談 無料 職人,顕在,無料相談,職人経営者,high,LP,無料相談
18,建設業 Web集客 代行,顕在,運用代行,職人経営者,mid,サービスページ,無料相談
19,建設業 ホームページ 制作 おすすめ,顕在,比較検討,職人経営者,mid,比較記事,無料診断
20,地域密着 ホームページ制作,顕在,地域訴求,地方事業者,mid,サービスページ,無料診断
21,屋根屋 集客 方法,準顕在,集客改善,屋根屋,high,ハウツー記事,無料診断
22,塗装屋 集客 方法,準顕在,集客改善,塗装屋,high,ハウツー記事,無料診断
23,外構 集客 方法,準顕在,集客改善,外構業者,high,ハウツー記事,無料診断
24,一人親方 仕事の取り方,準顕在,案件獲得,一人親方,high,ハウツー記事,LINE登録
25,元請け依存 脱却 方法,準顕在,経営課題,職人経営者,high,解説記事,LINE登録
26,建設業 問い合わせ 増やす,準顕在,CVR改善,職人経営者,high,ハウツー記事,無料診断
27,職人 SEO 対策,準顕在,SEO改善,IT苦手職人,mid,入門記事,LINE登録
28,職人 SNS 集客,準顕在,SNS改善,IT苦手職人,mid,入門記事,LINE登録
29,建設業 ブログ 書き方,準顕在,記事運用,現場兼任担当,mid,テンプレ記事,テンプレ配布
30,施工事例 書き方,準顕在,記事運用,現場兼任担当,high,テンプレ記事,テンプレ配布
31,Googleマップ 集客 建設業,準顕在,MEO改善,地方職人,mid,解説記事,無料診断
32,職人 LINE公式アカウント 活用,準顕在,追客改善,職人経営者,mid,解説記事,LINE登録
33,建設業者 見積依頼 増やす,準顕在,CVR改善,職人経営者,high,ハウツー記事,無料相談
34,地元 集客 仕組み,準顕在,地域戦略,地方職人,mid,解説記事,無料診断
35,リフォーム 集客 成功事例,準顕在,事例学習,職人経営者,mid,事例記事,無料相談
36,建設業 ホームページ 失敗例,準顕在,失敗回避,職人経営者,mid,比較記事,無料診断
37,職人 web広告 はじめ方,準顕在,広告運用,IT苦手職人,mid,入門記事,LINE登録
38,屋根工事 チラシ 効果,準顕在,オフライン連携,屋根屋,low,比較記事,LINE登録
39,一人親方 営業 方法,準顕在,案件獲得,一人親方,mid,ハウツー記事,無料相談
40,建設業 集客 コツ,準顕在,集客改善,職人経営者,high,ピラーページ,無料診断
41,雨漏り 修理 相場,潜在,費用調査,施主,high,相場記事,問い合わせ
42,屋根修理 費用 目安,潜在,費用調査,施主,high,相場記事,問い合わせ
43,屋根塗装 時期,潜在,メンテ相談,施主,high,解説記事,問い合わせ
44,外壁塗装 失敗しない方法,潜在,失敗回避,施主,mid,解説記事,問い合わせ
45,ベランダ防水 費用,潜在,費用調査,施主,mid,相場記事,問い合わせ
46,外構 工事 費用 相場,潜在,費用調査,施主,mid,相場記事,問い合わせ
47,カーポート 設置 費用,潜在,費用調査,施主,mid,相場記事,問い合わせ
48,フェンス 交換 費用,潜在,費用調査,施主,mid,相場記事,問い合わせ
49,台風 屋根 点検 必要,潜在,防災,施主,mid,解説記事,点検相談
50,雨樋 修理 費用,潜在,費用調査,施主,mid,相場記事,問い合わせ
51,屋根 葺き替え 補助金,潜在,補助金,施主,mid,解説記事,相談
52,外壁塗装 見積 比較 ポイント,潜在,比較検討,施主,mid,比較記事,問い合わせ
53,玄関アプローチ リフォーム 事例,潜在,事例閲覧,施主,low,事例記事,問い合わせ
54,防水工事 いつやる,潜在,メンテ相談,施主,low,解説記事,点検相談
55,屋根 修理 火災保険,潜在,保険活用,施主,mid,解説記事,相談
56,塗装 色選び コツ,潜在,検討初期,施主,low,解説記事,問い合わせ
57,屋根材 比較 ガルバ,潜在,比較検討,施主,mid,比較記事,問い合わせ
58,外構 メンテナンス 方法,潜在,維持管理,施主,low,解説記事,問い合わせ
59,雨漏り 原因 チェック,潜在,トラブル初期,施主,high,チェック記事,点検相談
60,ひび割れ 補修 費用,潜在,費用調査,施主,mid,相場記事,問い合わせ
