day,week,title,target_keyword,stage,format,primary_cta,slug
1,1,職人向けホームページ制作の費用相場と失敗しない選び方,建設業 ホームページ制作 料金,顕在,比較記事,無料相談,/blog/hp-cost-guide
2,1,屋根屋のホームページで問い合わせが増える構成10選,屋根屋 ホームページ制作,顕在,業種別記事,無料診断,/blog/roof-site-structure
3,1,塗装屋の成約率を上げる導線設計,塗装屋 ホームページ制作,顕在,業種別記事,無料診断,/blog/paint-conversion-flow
4,1,外構業者が地域で選ばれるサイトの作り方,外構業者 ホームページ制作,顕在,業種別記事,無料診断,/blog/exterior-local-site
5,1,一人親方が最初に作るべき1ページ目,一人親方 ホームページ制作,顕在,入門記事,LINE登録,/blog/solo-first-page
6,2,建設業SEOの基本を初心者向けに解説,職人 SEO 対策,準顕在,入門記事,無料診断,/blog/construction-seo-basic
7,2,Googleマップとホームページを連動させる方法,Googleマップ 集客 建設業,準顕在,解説記事,無料診断,/blog/map-link-seo
8,2,施工事例の書き方テンプレ完全版,施工事例 書き方,準顕在,テンプレ記事,テンプレ配布,/blog/case-writing-template
9,2,お客様の声を自然に集める具体手順,建設業者 見積依頼 増やす,準顕在,ハウツー記事,LINE登録,/blog/review-collection
10,2,元請け依存から抜けるWeb集客3ステップ,元請け依存 脱却 方法,準顕在,解説記事,無料相談,/blog/escape-main-contractor
11,3,雨漏り修理の費用相場ガイド,雨漏り 修理 相場,潜在,相場記事,問い合わせ,/blog/leak-price-guide
12,3,雨漏り原因チェックリスト,雨漏り 原因 チェック,潜在,チェック記事,点検相談,/blog/leak-cause-check
13,3,屋根塗装の適切な時期とは,屋根塗装 時期,潜在,解説記事,問い合わせ,/blog/roof-paint-timing
14,3,外壁塗装見積の比較ポイント,外壁塗装 見積 比較 ポイント,潜在,比較記事,問い合わせ,/blog/wall-paint-quote
15,3,カーポート設置の費用相場,カーポート 設置 費用,潜在,相場記事,問い合わせ,/blog/carport-cost
16,4,フェンス交換の費用目安,フェンス 交換 費用,潜在,相場記事,問い合わせ,/blog/fence-replace-cost
17,4,ベランダ防水工事の費用と工法,ベランダ防水 費用,潜在,相場記事,問い合わせ,/blog/veranda-waterproof-cost
18,4,屋根修理で火災保険が使えるケース,屋根 修理 火災保険,潜在,解説記事,相談,/blog/roof-insurance-case
19,4,屋根葺き替え補助金の調べ方,屋根 葺き替え 補助金,潜在,解説記事,相談,/blog/roof-subsidy
20,4,塗装の色選びで失敗しないコツ,塗装 色選び コツ,潜在,解説記事,問い合わせ,/blog/paint-color-tips
21,5,職人向けLINE公式活用術,職人 LINE公式アカウント 活用,準顕在,解説記事,LINE登録,/blog/line-for-craftsman
22,5,職人向けInstagram運用の基本,職人 SNS 集客,準顕在,入門記事,LINE登録,/blog/instagram-basic
23,5,YouTubeで信頼を獲得する施工動画の作り方,職人 SNS 集客,準顕在,解説記事,無料診断,/blog/youtube-trust
24,5,問い合わせフォーム改善チェックリスト,建設業 問い合わせ 増やす,準顕在,チェック記事,無料診断,/blog/form-checklist
25,5,電話問い合わせが増えるCTA配置,建設業 問い合わせ 増やす,準顕在,ハウツー記事,無料診断,/blog/cta-phone-layout
26,6,チラシとWebを連動させる方法,屋根工事 チラシ 効果,準顕在,解説記事,LINE登録,/blog/flyer-web-link
27,6,少額から始める建設業Web広告,職人 web広告 はじめ方,準顕在,入門記事,無料相談,/blog/ad-start-small
28,6,施工前後写真の撮り方スマホ版,施工事例 書き方,準顕在,テンプレ記事,テンプレ配布,/blog/photo-howto
29,6,一人親方が月5件獲得した導線事例,一人親方 仕事の取り方,準顕在,事例記事,無料相談,/blog/solo-case-month5
30,6,2026年版 職人集客トレンドまとめ,建設業 集客 コツ,準顕在,まとめ記事,無料診断,/blog/trend-2026
